DLNG_YMD	USE_QTY	BF_IVNT_QTY	NOW_IVNT_QTY	SFEM_IVNT_QTY	YMD_AVG_USE_QTY
20240108	1	10	9	130	0
20240110	1	9	8	110	0
20240111	1	8	7	110	0
20240115	1	7	6	90	0
20240118	1	6	5	40	0
20240119	1	5	4	240	0
20240122	2	13	12	200	0
20240126	3	10	9	260	0
20240129	2	8	7	260	0
20240130	2	6	5	240	0
20240131	3	3	2	220	4
20240201	2	11	10	210	4
20240202	4	7	6	210	4
20240205	4	3	2	190	4
20240208	2	1	0	140	4
20240213	2	19	18	240	4
20240214	2	17	16	240	4
20240215	3	14	13	240	4
20240216	1	13	12	240	4
20240219	3	10	9	240	4
20240221	7	13	12	80	4
20240222	2	11	10	80	4
20240223	1	10	9	70	4
20240226	2	8	7	70	4
20240227	1	7	6	30	4
20240229	3	4	3	30	11
20240305	6	8	7	50	11
20240306	1	17	16	30	11
20240307	2	15	14	0	11
20240311	1	14	13	600	11
20240312	2	32	31	330	11
20240313	2	30	29	320	11
20240314	1	29	28	260	11
20240315	1	28	27	260	11
20240318	2	26	25	210	11
20240319	1	25	24	210	11
20240320	3	22	21	210	11
20240322	1	21	20	170	11
20240326	2	19	18	170	11
20240327	4	15	14	100	11
20240328	2	13	12	200	11
20240401	4	9	8	200	11
20240402	1	8	7	170	11
20240403	3	5	4	170	11
20240405	3	2	1	100	11
20240408	1	1	0	90	11
20240409	3	8	7	40	11
20240411	1	7	6	130	11
20240412	1	6	5	130	11
20240415	8	8	7	120	11
20240416	3	5	4	70	11
20240417	1	4	3	70	11
20240419	2	2	1	70	11
20240422	5	7	6	50	11
20240423	2	5	4	50	11
20240424	1	4	3	650	11
20240425	1	13	12	620	11
20240426	1	12	11	600	11
20240429	3	9	8	490	11
20240430	3	6	5	460	14
20240501	4	12	11	440	14
20240502	1	11	10	430	14
20240503	1	10	9	430	14
20240507	2	8	7	430	14
20240508	1	7	6	430	14
20240509	4	3	2	330	14
20240510	4	9	8	1120	14
20240513	2	7	6	1110	14
20240514	2	5	4	1110	14
20240516	2	3	2	1050	14
20240517	2	11	10	1040	14
20240520	4	7	6	1020	14
20240521	4	3	2	1010	14
20240522	1	22	21	940	14
20240524	1	21	20	890	14
20240527	3	18	17	850	14
20240528	3	15	14	850	14
20240529	2	13	12	850	14
20240530	1	12	11	830	14
20240531	1	11	10	800	14
20240603	3	8	7	750	16
20240605	1	7	6	730	16
20240607	5	2	1	700	16
20240610	3	9	8	690	16
20240611	5	4	3	660	16
20240612	2	2	1	650	16
20240613	2	10	9	610	16
20240614	5	5	4	610	16
20240617	2	3	2	610	16
20240618	2	11	10	560	16
20240619	4	7	6	500	16
20240620	1	6	5	480	16
20240621	6	30	29	420	16
20240624	1	29	28	420	16
20240625	2	27	26	400	16
20240626	1	26	25	400	16
20240627	1	25	24	400	16
20240628	1	24	23	370	16
20240701	5	19	18	370	16
20240702	3	16	15	320	16
20240703	3	13	12	300	16
20240704	2	11	10	300	16
20240708	3	8	7	250	16
20240709	4	4	3	350	16
20240710	9	5	4	420	16
20240715	2	3	2	380	16
20240716	1	22	21	360	16
20240718	3	19	18	1000	16
20240719	5	14	13	1000	16
20240725	1	13	12	950	16
20240726	1	12	11	950	16
20240729	1	11	10	920	16
20240730	4	7	6	910	16
20240731	5	12	11	730	15
20240801	2	10	9	730	15
20240802	1	9	8	660	15
20240805	1	8	7	660	15
20240806	1	7	6	650	15
20240807	2	5	4	630	15
20240808	1	4	3	630	15
20240809	3	1	0	590	15
20240812	2	29	28	560	15
20240813	2	27	26	560	15
20240814	1	26	25	520	15
20240816	1	25	24	520	15
20240819	2	23	22	520	15
20240820	6	17	16	480	15
20240821	1	16	15	450	15
20240823	3	13	12	390	15
20240826	3	10	9	390	15
20240827	1	9	8	370	15
20240829	3	6	5	320	15
20240830	3	3	2	290	15
20240902	4	9	8	280	15
20240903	3	6	5	280	15
20240904	3	3	2	210	15
20240905	4	9	8	200	15
20240906	1	8	7	200	15
20240909	3	5	4	200	15
20240910	5	10	9	140	15
20240911	3	7	6	140	15
20240912	2	5	4	60	15
20240913	3	2	1	560	15
20240919	4	18	17	520	15
20240920	1	17	16	720	15
20240923	1	16	15	700	15
20240924	1	15	14	530	15
20240925	1	14	13	530	15
20240926	2	12	11	530	15
20240927	1	11	10	460	15
20240930	1	10	9	460	14
20241002	4	6	5	450	14
20241004	3	3	2	450	14
20241007	15	8	7	400	14
20241008	2	6	5	360	14
20241010	2	4	3	350	14
20241015	2	2	1	260	14
20241017	3	9	8	200	14
20241018	1	8	7	190	14
20241021	2	16	15	150	14
20241022	3	13	12	120	14
20241023	1	12	11	120	14
20241024	3	9	8	1090	14
20241025	1	8	7	1090	14
20241028	5	3	2	1080	14
20241029	3	10	9	1020	14
20241030	2	8	7	970	14
20241031	3	5	4	970	15
20241101	6	9	8	960	15
20241104	3	6	5	960	15
20241105	4	2	1	930	15
20241108	2	10	9	860	15
20241111	10	10	9	810	15
20241112	4	6	5	800	15
20241113	4	12	11	790	15
20241114	2	10	9	750	15
20241118	2	8	7	650	15
20241119	1	7	6	650	15
20241121	2	5	4	620	15
20241126	4	11	10	740	15
20241127	1	10	9	720	15
20241128	3	7	6	680	15
20241129	1	6	5	980	15
20241203	1	5	4	970	15
20241204	3	2	1	960	15
20241205	1	11	10	950	15
20241206	2	9	8	920	15
20241209	2	7	6	870	15
20241210	2	5	4	850	15
20241212	1	4	3	820	15
20241213	1	3	2	820	15
20241216	2	1	0	820	15
20241217	3	8	7	760	15
20241218	3	5	4	710	15
20241219	1	4	3	710	15
20241224	1	3	2	680	15
20241226	3	10	9	640	15
20241227	1	9	8	620	15
20241230	1	8	7	570	15
20241231	1	7	6	570	15
20250102	2	5	4	570	14
20250106	2	3	2	570	14
20250107	1	2	1	560	14
20250108	1	11	10	550	14
20250109	1	10	9	510	14
20250110	2	8	7	440	14
20250113	6	2	1	440	14
20250114	2	10	9	430	14
20250116	1	9	8	420	14
20250117	2	7	6	390	14
20250120	3	4	3	320	14
20250121	1	3	2	1050	14
20250122	2	1	0	1150	14
20250124	2	19	18	1110	14
20250131	3	26	25	1100	14
20250203	1	25	24	1100	14
20250205	2	23	22	1090	14
20250207	1	22	21	1020	14
20250210	1	21	20	940	14
20250211	1	20	19	920	14
20250212	4	16	15	920	14
20250217	5	11	10	880	14
20250218	2	9	8	830	14
20250219	1	8	7	830	14
20250220	1	7	6	820	14
20250221	1	6	5	820	14
20250224	1	5	4	820	14
20250226	3	12	11	770	14
20250228	1	11	10	750	14
20250304	6	5	4	720	14
20250305	6	19	18	590	14
20250306	1	18	17	570	14
20250307	2	16	15	530	14
20250310	2	14	13	510	14
20250311	5	9	8	510	14
20250312	2	7	6	510	14
20250314	1	6	5	510	14
20250317	3	13	12	480	14
20250318	3	10	9	480	14
20250319	3	7	6	410	14
20250324	4	13	12	320	14
20250325	1	12	11	320	14
20250327	7	5	4	300	14
20250328	1	4	3	260	14
20250331	2	22	21	240	14
20250401	2	20	19	170	9
20250402	2	18	17	120	9
20250403	2	16	15	110	9
20250408	3	13	12	110	9
20250410	2	11	10	130	9
20250411	4	7	6	130	9
20250414	4	13	12	120	9
20250415	2	11	10	80	9
20250418	3	13	12	30	9
20250421	4	9	8	30	9
20250422	6	13	12	1030	9
20250423	2	11	10	1000	9
20250424	2	9	8	980	9
20250428	1	18	17	400	9
20250430	1	17	16	400	9
20250501	2	15	14	400	16
20250507	1	24	23	390	16
20250508	3	21	20	380	16
20250509	1	20	19	380	16
20250514	5	15	14	250	16
20250515	2	13	12	250	16
20250516	2	11	10	250	16
20250519	7	4	3	250	16
20250520	1	3	2	190	16
20250521	2	11	10	170	16
20250522	2	9	8	150	16
20250526	3	6	5	150	16
20250527	1	15	14	120	16
20250528	1	14	13	80	16
20250529	1	13	12	980	16
20250530	2	11	10	1780	16
20250602	1	10	9	1780	16
