DLNG_YMD	USE_QTY	BF_IVNT_QTY	NOW_IVNT_QTY	SFEM_IVNT_QTY	YMD_AVG_USE_QTY
20170903	2	230	229	300	52
20170910	1	171	170	900	52
20170913	1	184	183	850	52
20170926	3	136	135	250	52
20171010	1	145	144	1150	54
20171014	1	142	141	700	54
20171031	1	220	219	300	54
20171110	1	188	187	250	47
20171124	1	93	92	600	47
20171127	1	82	81	600	47
20180102	1	264	263	1100	53
20180124	1	228	227	1100	53
20180204	1	237	236	900	57
20180207	1	232	231	900	57
20180324	1	174	173	1100	57
20180404	1	84	83	600	54
20180412	1	107	106	450	54
20180417	1	105	104	300	54
20180504	1	140	139	1150	45
20180507	1	140	139	1100	45
20180615	1	89	88	400	39
20180730	1	25	24	100	31
20180907	1	42	41	50	25
20180917	1	36	35	30	25
20181002	1	15	14	1000	25
20181120	1	64	63	300	20
20181210	1	63	62	300	20
20190110	1	57	56	300	16
20190211	1	34	33	220	12
20190318	1	23	22	1040	13
20190520	1	40	39	750	10
20190808	1	12	11	600	6
20191226	1	40	39	850	7
20200120	1	39	38	690	6
20200511	1	33	32	1310	7
20200522	1	28	27	1310	7
20210830	1	31	30	800	14
20220608	1	46	45	450	3
20220802	1	46	45	300	3
20220928	1	40	39	220	3
20230324	1	15	14	90	2
20240424	1	27	26	800	1
20240627	1	76	75	750	1
20241226	1	12	11	640	1
20250404	1	11	10	640	1
